supportingSection,supportedSection,supportingMaterial,supportedMaterial
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 120x4,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,SHS 120x4,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,SHS 120x4,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,SHS 120x4,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,SHS 120x4,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,SHS 120x4,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,SHS 120x4,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,SHS 120x4,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,SHS 120x4,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 120x4,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 180 A,HE 300 A
HE 180 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 180 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 180 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 240 A,HE 300 A
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,FLAT 150/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 240 A,HE 300 A
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 240 A,HE 300 A
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,FLAT 150/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 240 A,HE 300 A
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 180 A,HE 300 A
HE 180 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 180 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 180 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 180 A,HE 300 A
HE 180 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 180 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 180 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 240 A,HE 300 A
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,FLAT 150/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 240 A,HE 300 A
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 240 A,HE 300 A
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,FLAT 150/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 240 A,HE 300 A
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 180 A,HE 300 A
HE 180 A,HE 180 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 180 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 180 A,HE 300 A
HE 180 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 180 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,HE 240 A,HE 300 A
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,HE 180 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,HE 180 A,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 300 A
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 280 B,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 280 B,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,HE 180 A,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 100x3,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
SHS 120x4,SHS 120x4,4 - S275 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 300 A
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 280 B
4 - S275 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El,SHS 120x4,HE 300 A
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,FLAT 180/15/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 300 A,SHS 100x3,3 - S355 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 300 A,FLAT 150/10/H,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
